10,56
13,56
17,62
23,66
30,67
39,77
51,77
67,80
88,88
115,88
150,97
195,99
254,99
331,109
431,109
561,115
730,120
949,121
1234,131
1605,131
2087,132
2714,142
3529,142
4588,149
5965,153
7755,153
10082,164
13107,164
17040,167
22152,175
28798,175
37438,183
48670,186
63271,186
82253,197
106929,197
139008,201
180711,208
234925,208
305403,217
397024,219
516132,219
670972,230
872264,230
1133944,235
1474128,241
1916367,241
2491278,251
3238662,252
4210261,253
5473340,263
7115342,263
9249945,269
12024929,274
15632408,274
20322131,285
26418771,285
34344403,287
44647724,296
58042042,296
75454655,304
98091052,307
127518368,307
165773879,318
215506043,318
280157856,321
364205213,329
473466777,329
615506811,338
