10,2
13,2
17,3
23,3
30,3
39,4
51,4
67,4
88,5
115,5
150,5
195,5
254,6
331,6
431,6
561,6
730,7
949,7
1234,8
1605,8
2087,8
2714,9
3529,9
4588,9
5965,11
7755,10
10082,11
13107,11
17040,12
22152,12
28798,12
37438,13
48670,13
63271,14
82253,14
106929,15
139008,15
180711,16
234925,16
305403,17
397024,17
516132,18
670972,19
872264,19
1133944,20
1474128,21
1916367,22
2491278,22
3238662,23
4210261,24
5473340,26
7115342,28
9249945,31
12024929,34
15632408,35
20322131,38
26418771,39
34344403,41
44647724,43
58042042,45
75454655,47
98091052,48
127518368,50
165773879,52
215506043,53
280157856,55
364205213,56
473466777,58
615506811,60
