10,2
13,3
17,3
23,3
30,4
39,4
51,5
67,5
88,5
115,5
150,6
195,6
254,7
331,7
431,7
561,7
730,8
949,8
1234,9
1605,10
2087,10
2714,10
3529,11
4588,11
5965,12
7755,12
10082,13
13107,13
17040,13
22152,14
28798,14
37438,15
48670,15
63271,15
82253,16
106929,17
139008,17
180711,17
234925,18
305403,19
397024,20
516132,20
670972,20
872264,22
1133944,22
1474128,23
1916367,24
2491278,25
3238662,26
4210261,27
5473340,30
7115342,32
9249945,34
12024929,37
15632408,38
20322131,41
26418771,43
34344403,45
44647724,47
58042042,48
75454655,51
98091052,51
127518368,53
165773879,55
215506043,58
280157856,60
364205213,61
473466777,63
615506811,65
