10,3
13,4
17,4
23,4
30,5
39,5
51,5
67,6
88,6
115,6
150,7
195,7
254,8
331,8
431,9
561,9
730,9
949,10
1234,10
1605,11
2087,12
2714,12
3529,13
4588,13
5965,13
7755,14
10082,14
13107,15
17040,15
22152,16
28798,16
37438,17
48670,18
63271,18
82253,19
106929,19
139008,20
180711,21
234925,21
305403,23
397024,24
516132,25
670972,26
872264,28
1133944,29
1474128,30
1916367,32
2491278,34
3238662,36
4210261,39
5473340,43
7115342,48
9249945,45
12024929,49
15632408,52
20322131,55
26418771,58
34344403,61
44647724,64
58042042,71
75454655,78
98091052,80
127518368,83
165773879,86
215506043,90
280157856,94
364205213,99
473466777,101
615506811,105
