10,65
13,70
17,71
23,82
30,86
39,92
51,97
67,102
88,109
115,113
150,120
195,126
254,130
331,137
431,142
561,147
730,154
949,159
1234,165
1605,171
2087,175
2714,182
3529,188
4588,193
5965,199
7755,204
10082,211
13107,216
17040,221
22152,228
28798,233
37438,239
48670,245
63271,249
82253,256
106929,261
139008,266
180711,273
234925,278
305403,284
397024,290
516132,294
670972,302
872264,307
1133944,312
1474128,319
1916367,323
2491278,330
3238662,335
4210261,340
5473340,347
7115342,352
9249945,358
12024929,364
15632408,369
20322131,375
26418771,381
34344403,385
44647724,392
58042042,397
75454655,403
98091052,409
127518368,414
165773879,421
215506043,426
280157856,431
364205213,438
473466777,443
615506811,449
