10,6
13,7
17,7
23,9
30,9
39,10
51,11
67,11
88,12
115,13
150,14
195,15
254,16
331,17
431,17
561,18
730,19
949,20
1234,21
1605,22
2087,22
2714,23
3529,24
4588,24
5965,26
7755,26
10082,28
13107,28
17040,29
22152,30
28798,31
37438,32
48670,33
63271,34
82253,35
106929,36
139008,37
180711,38
234925,40
305403,41
397024,42
516132,44
670972,45
872264,47
1133944,48
1474128,50
1916367,52
2491278,55
3238662,58
4210261,62
5473340,65
7115342,70
9249945,70
12024929,73
15632408,76
20322131,79
26418771,83
34344403,88
44647724,90
58042042,93
75454655,96
98091052,100
127518368,103
165773879,109
215506043,113
280157856,115
364205213,119
473466777,122
615506811,126
