10,5
13,6
17,6
23,7
30,8
39,8
51,9
67,10
88,10
115,10
150,11
195,11
254,13
331,13
431,14
561,15
730,15
949,16
1234,16
1605,17
2087,18
2714,19
3529,20
4588,21
5965,21
7755,22
10082,23
13107,23
17040,24
22152,25
28798,26
37438,27
48670,27
63271,28
82253,28
106929,29
139008,30
180711,31
234925,32
305403,33
397024,35
516132,36
670972,37
872264,39
1133944,42
1474128,44
1916367,47
2491278,49
3238662,50
4210261,52
5473340,54
7115342,57
9249945,58
12024929,59
15632408,62
20322131,64
26418771,66
34344403,68
44647724,71
58042042,72
75454655,75
98091052,76
127518368,79
165773879,81
215506043,82
280157856,85
364205213,86
473466777,89
615506811,90
