10,152
13,162
17,165
23,189
30,197
39,210
51,221
67,231
88,246
115,257
150,271
195,283
254,293
331,307
431,319
561,331
730,345
949,355
1234,369
1605,381
2087,391
2714,406
3529,417
4588,430
5965,443
7755,453
10082,467
13107,480
17040,490
22152,505
28798,516
37438,528
48670,541
63271,551
82253,566
106929,578
139008,589
180711,603
234925,614
305403,627
397024,640
516132,650
670972,665
872264,676
1133944,688
1474128,701
1916367,712
2491278,726
3238662,738
4210261,748
5473340,763
7115342,774
9249945,786
12024929,800
15632408,810
20322131,824
26418771,836
34344403,847
44647724,861
58042042,873
75454655,885
98091052,898
127518368,908
165773879,923
215506043,934
280157856,945
364205213,960
473466777,971
615506811,983
