10,91
13,98
17,104
23,113
30,120
39,128
51,136
67,144
88,153
115,160
150,169
195,178
254,185
331,195
431,203
561,211
730,220
949,228
1234,237
1605,245
2087,253
2714,262
3529,270
4588,279
5965,288
7755,295
10082,305
13107,313
17040,321
22152,330
28798,338
37438,347
48670,356
63271,363
82253,373
106929,381
139008,389
180711,399
234925,406
305403,415
397024,424
516132,432
670972,441
872264,449
1133944,457
1474128,467
1916367,474
2491278,483
3238662,492
4210261,500
5473340,509
7115342,517
9249945,526
12024929,535
15632408,543
20322131,552
26418771,560
34344403,568
44647724,577
58042042,586
