10,5
13,5
17,6
23,6
30,7
39,7
51,8
67,8
88,9
115,9
150,10
195,10
254,11
331,11
431,12
561,13
730,14
949,14
1234,15
1605,15
2087,17
2714,17
3529,18
4588,18
5965,19
7755,20
10082,20
13107,21
17040,22
22152,22
28798,24
37438,24
48670,24
63271,25
82253,26
106929,26
139008,27
180711,29
234925,29
305403,30
397024,31
516132,32
670972,34
872264,34
1133944,37
1474128,39
1916367,40
2491278,44
3238662,46
4210261,48
5473340,50
7115342,52
9249945,54
12024929,55
15632408,58
20322131,60
26418771,62
34344403,63
44647724,67
58042042,69
75454655,71
98091052,72
127518368,75
165773879,76
215506043,79
280157856,80
364205213,82
473466777,84
615506811,85
