10,2
13,3
17,3
23,3
30,4
39,4
51,4
67,5
88,5
115,6
150,6
195,6
254,7
331,7
431,7
561,8
730,8
949,9
1234,9
1605,10
2087,10
2714,10
3529,11
4588,11
5965,11
7755,12
10082,12
13107,13
17040,13
22152,14
28798,15
37438,15
48670,15
63271,16
82253,16
106929,17
139008,18
180711,18
234925,19
305403,20
397024,20
516132,21
670972,23
872264,23
1133944,24
1474128,27
1916367,28
2491278,31
3238662,32
4210261,34
5473340,36
7115342,38
9249945,40
12024929,41
15632408,44
20322131,46
26418771,46
34344403,49
44647724,50
58042042,52
75454655,53
98091052,54
127518368,56
165773879,58
215506043,59
280157856,61
364205213,63
473466777,64
615506811,66
