10,34
13,37
17,40
23,43
30,46
39,50
51,53
67,56
88,60
115,63
150,67
195,71
254,74
331,78
431,81
561,85
730,89
949,92
1234,96
1605,99
2087,102
2714,106
3529,110
4588,113
5965,117
7755,120
10082,124
13107,128
17040,131
22152,135
28798,138
37438,142
48670,146
63271,149
82253,153
106929,157
139008,160
180711,164
234925,167
305403,171
397024,175
516132,178
670972,182
872264,185
1133944,189
1474128,193
1916367,196
2491278,200
3238662,203
4210261,207
5473340,211
7115342,214
9249945,218
12024929,222
15632408,225
20322131,229
26418771,232
34344403,235
44647724,239
58042042,243
75454655,246
98091052,250
127518368,253
165773879,257
215506043,261
280157856,264
364205213,268
473466777,272
615506811,275
