10,84
13,91
17,97
23,106
30,113
39,121
51,129
67,137
88,146
115,153
150,162
195,171
254,178
331,188
431,196
561,204
730,213
949,221
1234,230
1605,238
2087,246
2714,255
3529,263
4588,272
5965,281
7755,288
10082,298
13107,306
17040,314
22152,323
28798,331
37438,340
48670,349
63271,356
82253,366
106929,374
139008,382
180711,392
234925,399
305403,408
397024,417
516132,425
670972,434
872264,442
1133944,450
1474128,460
1916367,467
2491278,476
3238662,485
4210261,493
5473340,502
7115342,510
9249945,519
12024929,528
15632408,536
20322131,545
26418771,553
34344403,561
44647724,570
58042042,579
