10,3
13,3
17,4
23,4
30,4
39,5
51,5
67,5
88,6
115,6
150,7
195,7
254,7
331,8
431,9
561,9
730,9
949,10
1234,11
1605,11
2087,12
2714,12
3529,12
4588,13
5965,14
7755,14
10082,14
13107,15
17040,15
22152,16
28798,16
37438,17
48670,17
63271,18
82253,19
106929,19
139008,20
180711,20
234925,22
305403,23
397024,24
516132,25
670972,26
872264,27
1133944,28
1474128,29
1916367,31
2491278,33
3238662,35
4210261,39
5473340,43
7115342,47
9249945,46
12024929,48
15632408,52
20322131,56
26418771,58
34344403,60
44647724,63
58042042,67
75454655,70
98091052,73
127518368,77
165773879,81
215506043,84
280157856,88
364205213,91
473466777,94
615506811,97
