10,2
13,3
17,3
23,3
30,4
39,4
51,4
67,5
88,5
115,5
150,5
195,6
254,6
331,6
431,7
561,7
730,8
949,8
1234,8
1605,8
2087,9
2714,9
3529,10
4588,11
5965,11
7755,11
10082,12
13107,12
17040,12
22152,12
28798,13
37438,13
48670,13
63271,14
82253,15
106929,16
139008,17
180711,17
234925,17
305403,18
397024,19
516132,19
670972,20
872264,21
1133944,23
1474128,26
1916367,28
2491278,29
3238662,29
4210261,31
5473340,34
7115342,35
9249945,36
12024929,38
15632408,40
20322131,42
26418771,42
34344403,44
44647724,46
58042042,48
75454655,49
98091052,50
127518368,52
165773879,53
215506043,55
280157856,56
364205213,58
473466777,59
615506811,61
