10,47
13,51
17,55
23,59
30,62
39,67
51,71
67,74
88,79
115,83
150,87
195,91
254,95
331,99
431,103
561,107
730,112
949,115
1234,120
1605,124
2087,128
2714,132
3529,136
4588,141
5965,145
7755,149
10082,153
13107,157
17040,161
22152,166
28798,170
37438,174
48670,178
63271,182
82253,187
106929,191
139008,195
180711,199
234925,203
305403,207
397024,212
516132,215
670972,220
872264,224
1133944,228
1474128,232
1916367,236
2491278,241
3238662,245
4210261,249
5473340,253
7115342,257
9249945,261
12024929,266
15632408,269
20322131,274
26418771,278
34344403,282
44647724,286
58042042,290
75454655,295
98091052,299
127518368,303
165773879,307
215506043,311
280157856,315
364205213,320
473466777,324
615506811,328
