10,5
13,5
17,6
23,7
30,7
39,8
51,8
67,9
88,9
115,10
150,11
195,11
254,13
331,13
431,14
561,15
730,15
949,16
1234,17
1605,18
2087,18
2714,18
3529,19
4588,20
5965,21
7755,22
10082,22
13107,23
17040,24
22152,24
28798,25
37438,26
48670,27
63271,27
82253,28
106929,30
139008,30
180711,31
234925,32
305403,33
397024,34
516132,36
670972,37
872264,40
1133944,43
1474128,45
1916367,47
2491278,49
3238662,50
4210261,52
5473340,54
7115342,56
9249945,57
12024929,61
15632408,62
20322131,64
26418771,66
34344403,68
44647724,70
58042042,72
