10,5
13,7
17,6
23,7
30,8
39,7
51,8
67,9
88,9
115,10
150,11
195,12
254,13
331,14
431,13
561,15
730,15
949,16
1234,16
1605,17
2087,18
2714,19
3529,19
4588,20
5965,20
7755,21
10082,21
13107,23
17040,24
22152,23
28798,25
37438,26
48670,26
63271,27
82253,28
106929,29
139008,30
180711,31
234925,32
305403,33
397024,34
516132,35
670972,36
872264,37
1133944,39
1474128,42
1916367,44
2491278,46
3238662,49
4210261,51
5473340,53
7115342,57
9249945,56
12024929,58
15632408,61
20322131,63
26418771,66
34344403,68
44647724,69
58042042,72
