10,6
13,6
17,7
23,8
30,9
39,9
51,10
67,11
88,11
115,13
150,13
195,14
254,15
331,16
431,17
561,18
730,19
949,20
1234,20
1605,21
2087,22
2714,23
3529,23
4588,24
5965,25
7755,26
10082,27
13107,28
17040,28
22152,30
28798,30
37438,32
48670,33
63271,33
82253,35
106929,36
139008,38
180711,39
234925,41
305403,42
397024,45
516132,45
670972,47
872264,50
1133944,54
1474128,56
1916367,62
2491278,67
3238662,70
4210261,73
5473340,76
7115342,79
9249945,80
12024929,82
15632408,86
20322131,89
26418771,93
34344403,96
44647724,100
58042042,103
75454655,107
98091052,110
127518368,115
165773879,119
215506043,122
280157856,128
364205213,131
473466777,135
615506811,137
