10,5
13,6
17,7
23,7
30,8
39,8
51,8
67,10
88,10
115,10
150,11
195,12
254,13
331,13
431,15
561,15
730,15
949,16
1234,17
1605,17
2087,18
2714,18
3529,20
4588,20
5965,21
7755,22
10082,22
13107,23
17040,24
22152,24
28798,25
37438,26
48670,27
63271,28
82253,28
106929,29
139008,30
180711,31
234925,32
305403,33
397024,35
516132,36
670972,38
872264,40
1133944,42
1474128,44
1916367,47
2491278,48
3238662,50
4210261,52
5473340,54
7115342,56
9249945,57
12024929,60
15632408,62
20322131,64
26418771,66
34344403,68
44647724,70
58042042,73
75454655,74
98091052,76
127518368,78
165773879,80
215506043,82
280157856,85
364205213,86
473466777,87
615506811,89
