10,1
13,1
17,1
23,1
30,2
39,2
51,2
67,2
88,2
115,3
150,3
195,3
254,3
331,3
431,4
561,4
730,4
949,4
1234,5
1605,5
2087,5
2714,5
3529,6
4588,6
5965,6
7755,6
10082,6
13107,7
17040,7
22152,7
28798,7
37438,7
48670,7
63271,8
82253,8
106929,8
139008,8
180711,8
234925,9
305403,9
397024,9
516132,9
670972,9
872264,10
1133944,10
1474128,10
1916367,10
2491278,10
3238662,11
4210261,11
5473340,11
7115342,11
9249945,11
12024929,12
15632408,12
20322131,12
26418771,12
34344403,12
44647724,13
58042042,13
75454655,13
98091052,13
127518368,13
165773879,14
215506043,14
280157856,14
364205213,14
473466777,14
615506811,14
