10,114
13,123
17,133
23,146
30,154
39,168
51,179
67,189
88,203
115,214
150,227
195,239
254,248
331,264
431,275
561,286
730,300
949,310
1234,324
1605,336
2087,347
2714,361
3529,373
4588,385
5965,398
7755,408
10082,422
13107,435
17040,445
22152,460
28798,471
37438,483
48670,496
63271,506
82253,521
106929,533
139008,544
180711,558
234925,569
305403,582
397024,595
516132,605
670972,619
872264,631
1133944,642
1474128,656
1916367,667
2491278,681
3238662,693
4210261,703
5473340,718
7115342,729
9249945,741
12024929,755
15632408,765
20322131,779
26418771,792
34344403,802
44647724,817
58042042,828
75454655,840
98091052,854
127518368,863
165773879,878
215506043,890
280157856,900
364205213,915
473466777,926
615506811,939
