10,4
13,5
17,6
23,6
30,7
39,7
51,7
67,8
88,9
115,9
150,10
195,10
254,11
331,11
431,12
561,13
730,14
949,15
1234,15
1605,16
2087,17
2714,17
3529,18
4588,18
5965,19
7755,20
10082,20
13107,21
17040,21
22152,21
28798,23
37438,23
48670,24
63271,25
82253,25
106929,27
139008,27
180711,28
234925,29
305403,30
397024,31
516132,32
670972,33
872264,35
1133944,37
1474128,39
1916367,41
2491278,43
3238662,46
4210261,48
5473340,50
7115342,51
9249945,53
12024929,55
15632408,58
20322131,59
26418771,62
34344403,64
44647724,65
58042042,69
75454655,71
98091052,73
127518368,75
165773879,76
215506043,79
280157856,79
364205213,81
473466777,83
615506811,85
